Id,Make,Model,Year,Kilometers,Regional Specs,Transmission,Body Type,Engine Type,Cylinders,Fuel Type,Interior Color,Exterior Color,Seating Capacity,No of Doors,Primary Damage,Secondary Damage,Auction Date,Start Price,Final Price,Bid Difference,Bid Difference Percentage,Participation Count,Source,Age,Min_Predicted_Price,Max_Predicted_Price,Predicted Price,Min_Final_Price_Predicted_Ratio,Max_Final_Price_Predicted_Ratio,Final Price Predicted Ratio
665184a5d24081802a9fcb83,Volvo,Fh-Series,2018,800809.0,European Specs,Automatic Transmission,Truck,EURO 6,460 HP,Diesel,Black,Blue,,,,,2024-06-27,500,148000,147500,29500.0,2,Marhaba Auctions,6,,,,,,
667cdd1654249c3f38642873,Volvo,Fh-Series,2012,988029.0,European Specs,Manual Transmission,Truck,EURO 4,420p,Diesel,Black,White,,,,,2024-06-27,500,80000,79500,15900.0,1,Marhaba Auctions,12,,,,,,
667cdf3f54249c3f38642c27,Volvo,Fh-Series,2012,978944.0,European Specs,Manual Transmission,Truck,EURO 4,420p,Diesel,Black,White,,,,,2024-06-27,500,74000,73500,14700.0,1,Marhaba Auctions,12,,,,,,
65cbe8b378355af249c10585,Hyundai,Sonata,2021,79189.0,American Specs,Automatic Transmission,Sedan,2.0L,4,Hybrid,Beige,Dark Blue,,,Front End,Minor Dent/Scratches,2024-07-02,33000,46000,13000,39.39,2,Marhaba Auctions,3,50922.5078125,55975.8125,53449.16015625,0.8217835158712524,0.9033333583918334,0.8606309222731736
6474997dcf2b95bb497f98ea,Toyota,Corolla,2020,170574.0,American Specs,Automatic Transmission,Sedan,1.8L,4,Petrol,Beige,Gray,,,Front End,Minor Dent/Scratches,2024-06-14,29500,31000,1500,5.08,8,Marhaba Auctions,4,33891.859375,49890.4609375,41891.16015625,0.6213612666123707,0.9146739238174358,0.7400129259818296
65e288728072b01ed1455589,Hyundai,Sonata,2016,161538.0,American Specs,Automatic Transmission,Sedan,2.4L,4,Petrol,Beige,Silver,,,Front End,Minor Dent/Scratches,2024-06-14,11500,14000,2500,21.74,2,Marhaba Auctions,8,22455.591796875,26431.751953125,24443.671875,0.5296659875148683,0.623452729575726,0.5727453744099157
6627dd17b72bb36c387e86c8,Lexus,Es 350,2014,118133.0,American Specs,Automatic Transmission,Sedan,3.5L,6,Petrol,Beige,Red,,,Front End,Minor Dent/Scratches,2024-06-14,26500,27500,1000,3.77,10,Marhaba Auctions,10,,,,,,
66362a4a09dc9023261595d3,Nissan,Altima,2015,118563.0,American Specs,Automatic Transmission,Sedan,2.5L,4,Petrol,Black,White,,,Rear End,Minor Dent/Scratches,2024-06-14,8500,9500,1000,11.76,2,Marhaba Auctions,9,17791.083984375,21168.19921875,19479.6416015625,0.44878640369112055,0.5339753332817362,0.4876886440887078
664f79a57b0f9fc439c37f9f,Hyundai,Sonata,2012,131543.0,American Specs,Automatic Transmission,Sedan,2.4L,4,Petrol,Black,Black,,,Front End,Side,2024-06-14,7500,11500,4000,53.33,2,Marhaba Auctions,12,17031.357421875,20965.4609375,18998.4091796875,0.5485212099215264,0.6752250989242614,0.605313839239521
664f7a257b0f9fc439c3882c,Toyota,Camry,2013,209686.0,American Specs,Automatic Transmission,Sedan,2.5L,4,Petrol,Black,White,,,Front End,Side,2024-06-14,13500,14000,500,3.7,2,Marhaba Auctions,11,17688.43359375,27477.361328125,22582.8974609375,0.5095103504596717,0.7914776583126465,0.6199381644545982
