_id,abs,accidentHistory,airBags,algoliaSync,alloyWheels,appleCarPlayAndroid,attribute1,attribute2,attribute3,attribute4,attribute5,availableStatus,bhp,bluetooth,bodyColorDesc,bodyType,brand,buyNowEnabled,cd,createdAt,creationDate,cruiseControl,currentOrganizationId,currentOrganizationName,deleted,deletedAt,description,differentialLock,dvd,engineSize,engineType,exterior_color_description,fogLamps,fuelType,grade_description,imageResponse,imageUrlName,inspectReportUrl,installmentAmount,interior_color_description,inventoryItemId,itemCode,keylessEntry,kilometers,lastUpdateDate,lcvflag,leatherSeats,make_description,managersChoice,memorySeats,mileage,model,modelDesc,modelYear,modelYearNew,mp3Player,navigation,newOfferPrice,noOfDoors,noOfImages,noOfSeats,offerExpiryDate,openFlag,parkingSensors,powerOptions,rating,rearCamera,rearSpoiler,regExpDate,remoteEngineStart,reservationFlag,reservationId,reservedFlag,roofRails,saleType,sellerName,serialNumber,serviceHistory,serviceReportUrl,specialOffer_Flag,specs,stockType,subModelDesc,sunRoof,thumbnailImage,thumbnailUrlName,transmission,trim,trimColor,trimColorDesc,trimType,updatedAt,usbAux,variant,vehType,vehicleGender,vehicleLocation,vhlPrice,vin_last_5_digits,warExpDate,warrantyType,webBodyColorDesc,webBodyType,webBrand,webDescription,webModelDesc,webTrimColorDesc,xenonLights,hasOffer,offerPercentage,offerPrice,tagline,objectID,_highlightResult,driveType
46601549,nan,nan,nan,Updated,nan,nan,Nissan.PATHFINDER.PF4.2020.3500 CC.A/T.MAROON.BIEGE.52000.EXTENDED WARRANTY.RETAIL,Used Car Department,1,nan,Y,Reserved,nan,nan,MAROON,SUV,Nissan,nan,nan,2024-07-02T00:00:16.359Z,2024-04-16 00:00:00.0,nan,198,nan,False,nan,Nissan Pathfinder,nan,nan,  3.5 L,PETROL,BIEGE,nan,PETROL,nan,nan,nan,nan,1632,MAROON,46601549,UN5N1DR2CM9LC605991-1,nan,nan,2024-07-02 01:30:35.0,nan,nan,Nissan,N,nan,54241,PATHFINDER,Pathfinder,2020,2020,nan,nan,nan,5,nan,7,nan,N,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,nan,RETAIL,nan,5N1DR2CM9LC605991,nan,nan,nan,AMERICAN,nan,nan,nan,nan,nan,A/T,nan,nan,BIEGE,FABRIC,2024-07-02T20:00:25.109Z,nan,4WD,nan,SUV,Used Car Department,99900,5991,nan,NO,MAROON,SUV,NISSAN,Nissan Pathfinder,PATHFINDER,BIEGE,nan,nan,nan,,nan,46601549,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Reserved', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'MAROON', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Nissan', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1632', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '54241', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Pathfinder', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2020', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2020', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': '5N1DR2CM9LC605991', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BIEGE', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '99900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '05991', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'NO', 'matchLevel': 'none', 'matchedWords': []}}",
46600673,nan,nan,nan,Updated,nan,nan,Nissan.PATROL.P6S2.2020.4000 CC.A/T.WHITE.BIEGE.65000.EXTENDED WARRANTY.RETAIL,Used Car Department,1,nan,Y,Reserved,nan,nan,WHITE,SUV,Nissan,nan,nan,2024-07-02T00:00:16.392Z,2024-04-16 00:00:00.0,nan,198,nan,False,nan,Nissan Patrol Y62,nan,nan,  4.0 L,PETROL,BIEGE,nan,PETROL,nan,nan,nan,nan,2448,WHITE,46600673,UNJN8FY1NY1NX134969-1,nan,nan,2024-07-02 01:30:36.0,nan,nan,Nissan,N,nan,65000,PATROL,Patrol,2020,2020,nan,nan,nan,4,nan,57,nan,N,nan,nan,nan,nan,nan,nan,nan,nan,nan,Y,nan,RETAIL,nan,JN8FY1NY1NX134969,nan,nan,nan,UAE,nan,nan,nan,nan,nan,A/T,nan,nan,BIEGE,FABRIC,2024-07-02T20:00:25.133Z,nan,4WD,nan,SUV,Used Car Department,149900,34969,nan,YES,WHITE,SUV,NISSAN,Nissan Patrol,PATROL,BIEGE,nan,nan,nan,,nan,46600673,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Reserved', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'WHITE', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Nissan', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '2448', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '65000', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Patrol', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2020', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2020', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'JN8FY1NY1NX134969', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BIEGE', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '149900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '34969', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}",
46636575,Y,nan,nan,Updated,Y,nan,Nissan.SUNNY.SY12.2023.1600 CC.CVT.GREY.BEIGE.58444.OEM WARRANTY.30-APR-2026.RETAIL,Used Car Dept. - Szr,1,nan,Y,Reserved,nan,Y,GREY,Saloon,Nissan,nan,nan,2024-05-19T00:00:19.143Z,2024-05-18 00:00:00.0,nan,1033,NSC,False,nan,Nissan Sunny (N18),nan,nan,  1.6 L,PETROL,BEIGE,nan,PETROL,nan,nan,nan,nan,946,GREY,46636575,UN3N1CN8ADXPL803638-1,Y,nan,2024-07-03 01:30:18.0,nan,nan,Nissan,N,nan,58444,SUNNY,Sunny,2023,2023,nan,nan,nan,4,nan,5,nan,N,Y,Y,nan,nan,nan,nan,nan,nan,nan,Y,nan,RETAIL,nan,3N1CN8ADXPL803638,nan,nan,nan,UAE,nan,nan,nan,nan,nan,CVT,nan,nan,BEIGE,FABRIC,2024-07-03T00:00:24.807Z,nan,2WD,nan,Sedan,Used Car Dept. - Szr,57900,3638,30-APR-2026,YES,GREY,SALOON,NISSAN,Nissan Sunny,SUNNY,BEIGE,nan,nan,nan,,nan,46636575,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Reserved', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'GREY', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'Saloon', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Nissan', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '946', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '58444', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Sunny', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': '3N1CN8ADXPL803638', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BEIGE', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '57900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '03638', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}",
46626599,Y,N,N,Updated,N,N,Nissan.XTRAIL.XT2W.2021.2500 CC.CVT.SILVER.BEIGE.59201.EXTENDED WARRANTY.RETAIL,Used Car Dept. - Awir,1,nan,Y,Reserved,nan,N,SILVER,SUV,Nissan,nan,N,2024-05-15T00:00:22.316Z,2024-05-15 00:00:00.0,N,687,AWRNEW,False,nan,Nissan Xtrail,N,N,  2.5 L,PETROL,BEIGE,N,PETROL,nan,nan,https://ik.imagekit.io/ct2r6oxbcn/JN1BT2MU3MW021293,nan,1223,SILVER,46626599,UNJN1BT2MU3MW021293-1,Y,nan,2024-07-03 01:30:19.0,nan,N,Nissan,N,N,59201,XTRAIL,X-Trail,2021,2021,N,N,nan,5,17.0,5,nan,N,Y,Y,nan,N,N,nan,N,nan,nan,Y,N,RETAIL,nan,JN1BT2MU3MW021293,N,nan,nan,GCC,nan,nan,N,nan,https://ik.imagekit.io/ct2r6oxbcn/JN1BT2MU3MW021293_0.jpg,CVT,nan,nan,BEIGE,FABRIC,2024-07-03T00:00:24.403Z,N,2WD,nan,SUV,Used Car Dept. - Awir,74900,21293,nan,YES,SILVER,SUV,NISSAN,Nissan X-Trail,X-TRAIL,BEIGE,N,nan,nan,,nan,46626599,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Reserved', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'SILVER', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Nissan', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1223', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '59201', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'X-Trail', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2021', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2021', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'JN1BT2MU3MW021293', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BEIGE', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '74900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '21293', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}",
46589544,Y,nan,nan,Updated,Y,nan,Nissan.ALTIMA.AX2.2021.2500 CC.CVT.SILVER.BEIGE.70360.EXTENDED WARRANTY.RETAIL,Used Car Dept. - Shj MBZ,1,nan,Y,Reserved,nan,Y,SILVER,Saloon,Nissan,nan,nan,2024-03-19T00:00:22.717Z,2024-03-19 00:00:00.0,Y,2505,nan,False,nan,Nissan ,nan,nan,  2.5 L,PETROL,BEIGE,nan,PETROL,nan,nan,https://ik.imagekit.io/ct2r6oxbcn/1N4BL4A97MN377959,nan,1272,SILVER,46589544,UN1N4BL4A97MN377959-1,Y,nan,2024-07-03 01:30:17.0,nan,N,Nissan,N,nan,70360,ALTIMA,Altima,2021,2021,nan,nan,nan,4,18.0,5,nan,nan,Y,Y,nan,Y,nan,nan,nan,nan,nan,Y,nan,RETAIL,nan,1N4BL4A97MN377959,nan,nan,nan,GCC,nan,nan,Y,nan,https://ik.imagekit.io/ct2r6oxbcn/1N4BL4A97MN377959_0.jpg,CVT,nan,nan,BEIGE,FABRIC,2024-07-03T00:00:19.943Z,nan,2WD,nan,Coupe,Used Car Dept. - Shj MBZ,77900,77959,nan,YES,SILVER,SALOON,NISSAN,Nissan Altima,ALTIMA,BEIGE,nan,nan,nan,,nan,46589544,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Reserved', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'SILVER', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'Saloon', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Nissan', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1272', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '70360', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Altima', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2021', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2021', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': '1N4BL4A97MN377959', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BEIGE', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '77900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '77959', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}",
46625539,Y,nan,nan,Updated,nan,nan,Nissan.SUNNY.SY2W.2023.1500 CC.A/T.BROWNISH GREY.GRAY.36633.OEM WARRANTY.28-FEB-2026.RETAIL,Used Car Dept. - Deira,1,nan,Y,Reserved,nan,nan,BROWNISH GREY,Saloon,Nissan,nan,nan,2024-05-09T00:00:20.658Z,2024-05-09 00:00:00.0,nan,5925,nan,False,nan,Nissan Sunny (N17),nan,nan,  1.5 L,PETROL,GRAY,nan,PETROL,nan,nan,https://ik.imagekit.io/ct2r6oxbcn/MDHBN7AD9PG321881,nan,733,BROWNISH GREY,46625539,UNMDHBN7AD9PG321881-1,Y,nan,2024-07-04 01:30:36.0,nan,nan,Nissan,N,nan,36633,SUNNY,Sunny,2023,2023,nan,nan,nan,4,15.0,5,nan,N,Y,Y,nan,nan,nan,nan,nan,nan,nan,Y,nan,RETAIL,nan,MDHBN7AD9PG321881,nan,nan,nan,UAE,nan,nan,nan,nan,https://ik.imagekit.io/ct2r6oxbcn/MDHBN7AD9PG321881_0.jpg,A/T,nan,nan,GRAY,FABRIC,2024-07-04T04:00:22.866Z,nan,2WD,nan,Sedan,Used Car Dept. - Deira,44899,21881,28-FEB-2026,YES,BROWNISH GREY,SALOON,NISSAN,Nissan Sunny,SUNNY,GRAY,nan,nan,nan,,nan,46625539,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Reserved', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'BROWNISH GREY', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'Saloon', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Nissan', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '733', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '36633', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Sunny', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'MDHBN7AD9PG321881', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'GRAY', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '44899', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '21881', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}",
46623651,Y,nan,nan,Updated,Y,nan,Infiniti.Q50.Q531.2023.3000 CC.A/T.BLACK.GRAPHITE.26429.OEM WARRANTY.17-APR-2026.RETAIL,Used Car Dept. - Szr,1,nan,Y,Reserved,nan,Y,BLACK,Saloon,Infiniti,nan,nan,2024-05-05T00:00:19.042Z,2024-05-05 00:00:00.0,Y,1033,NSC,False,nan,Infiniti Q50,nan,nan,  3.0 L,PETROL,GRAPHITE,Y,PETROL,nan,nan,https://ik.imagekit.io/ct2r6oxbcn/JN1EV7AP9PM480492,nan,1958,BLACK,46623651,UIJN1EV7AP9PM480492-1,Y,nan,2024-07-05 01:30:16.0,nan,Y,Infiniti,N,nan,26429,Q50,Q50,2023,2023,nan,Y,nan,4,18.0,5,nan,nan,Y,Y,nan,Y,nan,nan,nan,nan,nan,Y,nan,RETAIL,nan,JN1EV7AP9PM480492,nan,nan,nan,UAE,nan,nan,nan,nan,https://ik.imagekit.io/ct2r6oxbcn/JN1EV7AP9PM480492_0.jpg,A/T,nan,nan,GRAPHITE,FABRIC,2024-07-05T08:00:25.010Z,nan,2WD,nan,Sedan,Used Car Dept. - Szr,119900,80492,17-APR-2026,YES,BLACK,SALOON,INFINITI,Infiniti Q50,Q50,GRAPHITE,nan,nan,nan,,nan,46623651,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Reserved', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'BLACK', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'Saloon', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Infiniti', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1958', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '26429', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Q50', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'JN1EV7AP9PM480492', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'GRAPHITE', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '119900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '80492', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}",
46594666,Y,N,Y,Updated,Y,N,MG.MG ZS.Trophy.2023.1300 CC.A/T.WHITE.BEIGE.26.EXTENDED WARRANTY.RETAIL,Used Car Dept. - Szr,1,nan,Y,Reserved,nan,Y,WHITE,SUV,Mg,nan,Y,2024-05-09T00:00:19.849Z,2024-05-09 00:00:00.0,Y,1033,NSC,False,nan,MG ,N,Y,  1.3 L,PETROL,BEIGE,Y,PETROL,nan,nan,https://ik.imagekit.io/ct2r6oxbcn/LSJW74C93PZ166833,nan,1142,WHITE,46594666,UMLSJW74C93PZ166833-2,Y,nan,2024-07-05 01:30:17.0,nan,Y,Mg,N,N,26,MG ZS,Zs,2023,2023,N,N,nan,4,16.0,5,nan,nan,Y,Y,nan,Y,N,nan,N,nan,nan,Y,Y,RETAIL,nan,LSJW74C93PZ166833,N,nan,nan,UAE,nan,nan,Y,nan,https://ik.imagekit.io/ct2r6oxbcn/LSJW74C93PZ166833_0.jpg,A/T,nan,nan,BEIGE,FABRIC,2024-07-05T08:00:25.130Z,N,2WD,nan,SUV,Used Car Dept. - Szr,69899,66833,nan,YES,WHITE,SUV,MG,Mg Zs,ZS,BEIGE,Y,True,7.15307582260372,64900.0,SPECIAL OFFER,46594666,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Reserved', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'WHITE', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Mg', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1142', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '26', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Zs', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'LSJW74C93PZ166833', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BEIGE', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '69899', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '66833', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}",
46597905,Y,nan,nan,Updated,Y,nan,Chevrolet.CAPTIVA.Premier.2023.1500 CC.A/T.SILVER.BLACK.26154.EXTENDED WARRANTY.RETAIL,"Used Car - Central Warehouse, Awir",1,nan,Y,Reserved,nan,Y,SILVER,SUV,Chevrolet,nan,Y,2024-04-16T00:00:21.273Z,2024-04-16 00:00:00.0,Y,1418,NSC,False,nan,Chevrolet Captiva,nan,nan,  1.5 L,PETROL,BLACK,Y,PETROL,nan,nan,https://ik.imagekit.io/ct2r6oxbcn/LZWADAGA3PB032725,nan,1125,SILVER,46597905,UCLZWADAGA3PB032725-2,Y,nan,2024-07-05 01:30:13.0,nan,nan,Chevrolet,N,nan,26154,CAPTIVA,Captiva,2023,2023,Y,nan,nan,5,18.0,7,nan,nan,Y,Y,nan,Y,Y,nan,nan,nan,nan,Y,nan,RETAIL,nan,LZWADAGA3PB032725,nan,nan,nan,UAE,nan,nan,Y,nan,https://ik.imagekit.io/ct2r6oxbcn/LZWADAGA3PB032725_0.jpg,A/T,nan,nan,BLACK,FABRIC,2024-07-05T12:00:20.453Z,Y,2WD,nan,SUV,"Used Car - Central Warehouse, Awir",68900,32725,nan,YES,SILVER,SUV,CHEVROLET,Chevrolet Captiva,CAPTIVA,BLACK,nan,nan,nan,,nan,46597905,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Reserved', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'SILVER', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Chevrolet', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1125', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '26154', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'Captiva', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2023', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'LZWADAGA3PB032725', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BLACK', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '68900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '32725', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}",
46625597,Y,N,N,Updated,N,N,Nissan.XTRAIL.XT2W.2021.2500 CC.CVT.GREY.BEIGE.78133.EXTENDED WARRANTY.RETAIL,Used Car Dept. - Awir,1,nan,Y,Reserved,nan,N,GREY,SUV,Nissan,nan,N,2024-05-15T00:00:22.291Z,2024-05-15 00:00:00.0,N,687,AWRNEW,False,nan,Nissan Xtrail,N,N,  2.5 L,PETROL,BEIGE,N,PETROL,nan,nan,https://ik.imagekit.io/ct2r6oxbcn/JN1BT2MU3MW020693,nan,1223,GREY,46625597,UNJN1BT2MU3MW020693-1,Y,nan,2024-07-05 01:30:20.0,nan,N,Nissan,N,N,78133,XTRAIL,X-Trail,2021,2021,N,N,nan,5,17.0,5,nan,N,Y,Y,nan,N,N,nan,N,nan,nan,Y,N,RETAIL,nan,JN1BT2MU3MW020693,N,nan,nan,GCC,nan,nan,N,nan,https://ik.imagekit.io/ct2r6oxbcn/JN1BT2MU3MW020693_0.jpg,CVT,nan,nan,BEIGE,FABRIC,2024-07-05T12:00:22.659Z,N,2WD,nan,SUV,Used Car Dept. - Awir,74900,20693,nan,YES,GREY,SUV,NISSAN,Nissan X-Trail,X-TRAIL,BEIGE,N,nan,nan,,nan,46625597,"{'attribute3': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'availableStatus': {'value': 'Reserved', 'matchLevel': 'none', 'matchedWords': []}, 'bodyColorDesc': {'value': 'GREY', 'matchLevel': 'none', 'matchedWords': []}, 'bodyType': {'value': 'SUV', 'matchLevel': 'none', 'matchedWords': []}, 'brand': {'value': 'Nissan', 'matchLevel': 'none', 'matchedWords': []}, 'installmentAmount': {'value': '1223', 'matchLevel': 'none', 'matchedWords': []}, 'mileage': {'value': '78133', 'matchLevel': 'none', 'matchedWords': []}, 'modelDesc': {'value': 'X-Trail', 'matchLevel': 'none', 'matchedWords': []}, 'modelYear': {'value': '2021', 'matchLevel': 'none', 'matchedWords': []}, 'modelYearNew': {'value': '2021', 'matchLevel': 'none', 'matchedWords': []}, 'serialNumber': {'value': 'JN1BT2MU3MW020693', 'matchLevel': 'none', 'matchedWords': []}, 'trimColorDesc': {'value': 'BEIGE', 'matchLevel': 'none', 'matchedWords': []}, 'trimType': {'value': 'FABRIC', 'matchLevel': 'none', 'matchedWords': []}, 'vhlPrice': {'value': '74900', 'matchLevel': 'none', 'matchedWords': []}, 'vin_last_5_digits': {'value': '20693', 'matchLevel': 'none', 'matchedWords': []}, 'warrantyType': {'value': 'YES', 'matchLevel': 'none', 'matchedWords': []}}",
