name,is_reserved,location_list,category_id,is_verified_user,highlighted_ad,is_super_ad,has_vin,has_whatsapp_number,category,created_at,permalink,auto_agent_id,is_coming_soon,site,can_chat,uuid,neighbourhood,id,has_phone_number,category_v2,is_featured_agent,added,cotd_on,is_premium,objectID,Trim,Year,Kilometers,Regional Specs,Doors,Body Type,Fuel Type,Seating Capacity,Transmission Type,Engine Capacity (cc),Extras,Horsepower,No. of Cylinders,Warranty,Exterior Color,Target Market,Price,Steering Side,Make,Model,Agent,Seller Type,updated_at,Technical Features,Interior Color,Age,Age_Kilometers,Kilometers_per_Year,Predicted_Price,price/expected_price
دوج جشارجر موديل 2019,False,"['UAE', 'Dubai', 'Al Warqaa']",1277,False,0,False,False,False,"['Cars', 'Dodge', 'Charger']",1705661152,https://dubizzle.com/s/DOBESWc,3789.0,False,Dubai,False,e3cff8b4d9a840f1bead43aea60a275f,Al Warqaa,15800242,True,"['Motors', 'Cars', 'Dodge', 'Charger']",False,1705661149,0,False,item:4:2:1277:15800242,R/T,2019,65000,American Specs,4 door,Sedan,Petrol,4 Seater,Automatic Transmission,3500 - 3999 cc,"['Power Windows', 'Power Locks', 'Power Seats', 'Leather Seats', 'Heated Seats', 'Cooled Seats', 'Air Conditioning', 'Climate Control', 'Heat', 'CD Player', 'Premium Sound System', 'Navigation System', 'VHS Player', 'Bluetooth System', 'Power Mirrors', 'Premium Lights', 'Fog Lights', 'Premium Wheels/Rims', 'Brush Guard', 'Rear View Camera']",300 - 399 HP,6,No,Blue,UAE (can be exported),45000,Left Hand,Dodge,Charger,Bait Al Khebra Cars Trading L.L.C,Dealer,1705662550,"['Power Steering', 'Tiptronic Gears']",nan,5,325000,13000.0,72587.56,0.61994094
VOLVO S 60 POLESTAR,False,"['UAE', 'Dubai', 'Al Quoz', 'Al Quoz 2']",1617,True,0,False,False,False,"['Cars', 'Volvo', 'S-Class']",1703668119,https://dubizzle.com/s/DOBEL3A,nan,False,Dubai,True,a850737e06e84be6aa648da26596a1d6,Al Quoz 2,15773730,True,"['Motors', 'Cars', 'Volvo', 'S-Class']",False,1705655704,0,False,item:4:2:1617:15773730,Other,2016,211782,GCC Specs,4 door,Sedan,Petrol,nan,Automatic Transmission,nan,"['Leather Seats', 'Climate Control', 'Premium Sound System', 'Navigation System', 'Parking Sensors', 'Rear View Camera']",nan,6,No,White,nan,29000,Left Hand,Volvo,S-Class,nan,Owner,1705662626,['Front Wheel Drive'],Black,8,1694256,26472.75,52215.875,0.55538666
Well Maintained Family Car - Kia Sorento - GCC Spec,False,"['UAE', 'Dubai', 'Discovery Gardens']",1398,False,0,False,False,False,"['Cars', 'Kia', 'Sorento']",1704876738,https://dubizzle.com/s/DOBEP0j,nan,False,Dubai,True,ec44d10f45d241f2aa430fc0b0908455,Discovery Gardens,15788965,True,"['Motors', 'Cars', 'Kia', 'Sorento']",False,1705654522,0,False,item:4:2:1398:15788965,EX,2013,148853,GCC Specs,4 door,SUV,Petrol,5 Seater,Automatic Transmission,2500 - 2999 cc,"['Premium Sound System', 'DVD Player', 'Rear View Camera']",200 - 299 HP,4,No,Black,nan,18900,Left Hand,Kia,Sorento,nan,Owner,1705662629,['Front Wheel Drive'],Beige,11,1637383,13532.09090909091,27180.812,0.69534343
BMW 750Li,False,"['UAE', 'Dubai', 'Al Barsha']",1207,True,0,False,False,False,"['Cars', 'BMW', '7-Series']",1705067410,https://dubizzle.com/s/DOBEQMZ,nan,False,Dubai,True,3852ee5f52ba46a5ae818c456916441d,Al Barsha,15791921,True,"['Motors', 'Cars', 'BMW', '7-Series']",False,1705068630,0,False,item:4:2:1207:15791921,750i,2008,200000,GCC Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,Unknown,"['Leather Seats', 'Cooled Seats', 'Climate Control', 'Premium Sound System', 'Navigation System', 'Parking Sensors']",Unknown,8,Does not apply,Black,nan,12500,Left Hand,BMW,7-Series,nan,Owner,1705662762,['Front Wheel Drive'],Beige,16,3200000,12500.0,17907.518,0.6980309
Mercedes benz S500 Amg,False,"['UAE', 'Dubai', 'Al Mamzar']",2725,False,0,False,False,False,"['Cars', 'Mercedes-Benz', 'S-Class Coupe']",1704337558,https://dubizzle.com/s/DOBEN3K,nan,False,Dubai,True,9da4fc3a43714be2bcdf883343762b50,Al Mamzar,15781428,True,"['Motors', 'Cars', 'Mercedes-Benz', 'S-Class Coupe']",False,1705115207,0,False,item:4:2:2725:15781428,S 500 Coupe,2004,184000,Japanese Specs,4 door,Coupe,Petrol,5 Seater,Automatic Transmission,2500 - 2999 cc,"['Leather Seats', 'Cooled Seats', 'Climate Control', 'Premium Sound System', 'Parking Sensors']",400 - 499 HP,8,Does not apply,Black,nan,11000,Left Hand,Mercedes-Benz,S-Class Coupe,nan,Owner,1705662762,['Front Wheel Drive'],Black,20,3680000,9200.0,23674.227,0.46464032
Infiniti QX4 2001 model GCC Top option sunroof,False,"['UAE', 'Dubai', 'Al Wasl', 'City Walk', 'Central Park']",1361,False,0,False,False,True,"['Cars', 'Infiniti', 'QX4']",1705372855,https://dubizzle.com/s/DOBEROC,9074.0,False,Dubai,False,5289ee765b8b4b02a679df5aa4507cfe,Central Park,15795866,True,"['Motors', 'Cars', 'Infiniti', 'QX4']",False,1705372855,0,False,item:4:2:1361:15795866,Other,2001,310000,GCC Specs,5+ doors,SUV,Petrol,7 Seater,Automatic Transmission,4000+ cc,"['Power Windows', 'Sunroof', 'Leather Seats', 'Air Conditioning', 'AM/FM Radio', 'CD Player', 'Aux Audio In', 'DVD Player', 'Power Mirrors']",300 - 399 HP,8,Does not apply,White,UAE (can be exported),8500,Left Hand,Infiniti,QX4,nan,Owner,1705662782,"['4 Wheel Drive', 'Power Steering', 'Side Airbags']",Other Color,23,7130000,13478.260869565218,15428.284,0.55093616
Audi a6 good condition 4 cylinder RTA passed,False,"['UAE', 'Dubai', 'Al Qusais', 'Al Qusais Industrial Area', 'Al Qusais Industrial 5']",1188,False,1,False,False,False,"['Cars', 'Audi', 'A6']",1705059121,https://dubizzle.com/s/DOBEQIw,nan,False,Dubai,True,c3a6d1aea9934e48bac406ebf437a8e9,Al Qusais Industrial 5,15791706,True,"['Motors', 'Cars', 'Audi', 'A6']",False,1705060187,0,False,item:4:2:1188:15791706,Other,2008,190000,GCC Specs,4 door,Sedan,Petrol,5 Seater,Automatic Transmission,1500 - 1999 cc,nan,300 - 399 HP,4,No,Blue,nan,10900,Left Hand,Audi,A6,nan,Owner,1705663860,nan,Black,16,3040000,11875.0,17284.666,0.6306168
LEXUS LX570 PLATINUM GCC VERY CLEAN,False,"['UAE', 'Dubai', 'Dubai Silicon Oasis (DSO)']",3340,False,0,False,False,False,"['Cars', 'Lexus', 'LX570']",1702464367,https://dubizzle.com/s/DOBEH26,nan,False,Dubai,True,16cbd20a2f5b432ca30d27a39e4a2694,Dubai Silicon Oasis,15758324,True,"['Motors', 'Cars', 'Lexus', 'LX570']",False,1705661254,0,False,item:4:2:3340:15758324,Platinum,2013,196000,GCC Specs,4 door,SUV,Petrol,8 Seater,Automatic Transmission,4000+ cc,"['Keyless Entry', 'Leather Seats', 'Cooled Seats', 'Climate Control', 'Premium Sound System', 'Navigation System', 'DVD Player', 'Parking Sensors', 'Rear View Camera']",nan,8,No,Gold,nan,95000,Left Hand,Lexus,LX570,nan,Owner,1705725543,['Front Wheel Drive'],Beige,11,2156000,17818.18181818182,138768.19,0.6845949
WULING MINI EV FULLY ELECTRIC,False,"['UAE', 'Dubai', 'Ras Al Khor']",1622,False,0,False,False,True,"['Cars', 'Other Make', 'Other Car']",1672490644,https://dubizzle.com/s/DOBC5hv,nan,False,Dubai,True,a5b681e7cb8544c8bd0e2e66d486e5a1,Ras Al Khor,15374879,True,"['Motors', 'Cars', 'Other Make', 'Other Car']",False,1705517093,0,False,item:4:2:1622:15374879,Other,2021,0,Other,2 door,Sedan,Electric,nan,Automatic Transmission,nan,nan,nan,nan,No,Green,UAE (can be exported),30000,Left Hand,Other Make,Other Car,nan,Dealer,1705725754,nan,Other Color,3,0,0.0,106176.91,0.28254732
BMW 2007 V6 630i GCC Coupe,False,"['UAE', 'Dubai', 'Al Warqaa', 'Al Warqaa 1']",1206,True,0,False,False,False,"['Cars', 'BMW', '6-Series']",1703140568,https://dubizzle.com/s/DOBEJjD,nan,False,Dubai,True,220e98c016b248229234db35bbcca455,Al Warqaa 1,15767037,True,"['Motors', 'Cars', 'BMW', '6-Series']",False,1704571647,0,False,item:4:2:1206:15767037,630i,2007,165000,GCC Specs,2 door,Coupe,Petrol,4 Seater,Automatic Transmission,3500 - 3999 cc,"['Power Windows', 'Power Locks', 'Keyless Entry', 'Keyless Start', 'Power Sunroof', 'Sunroof', 'Moonroof', 'Power Seats', 'Leather Seats', 'Air Conditioning', 'Climate Control', 'AM/FM Radio', 'CD Player', 'Aux Audio In', 'Premium Sound System', 'Navigation System', 'DVD Player', 'Power Mirrors', 'Premium Lights', 'Fog Lights', 'Premium Wheels/Rims', 'Performance Tyres', 'Body Kit', 'Parking Sensors', 'Rear View Camera']",300 - 399 HP,6,Does not apply,Silver,nan,15000,Left Hand,BMW,6-Series,nan,Owner,1705725806,"['Anti-Lock Brakes/ABS', 'Cruise Control', 'Dual Exhaust', 'Front Airbags', 'Power Steering', 'Rear Wheel Drive', 'Side Airbags', 'Tiptronic Gears']",nan,17,2805000,9705.882352941177,24154.182,0.6210105
